nama_produk,harga,penjual,kota,rating_produk,jml_review
LIP ON LIP MATTE REDISH LIPSTIK WARNA MERAH OREN MOISTURISING LONG LASTING AWET GSHFASHION,Rp 47.800,GSH FASHION,Jakarta Pusat,4.4,8 ulasan
Fran Wilson MoodMatcher Lipstick Red - Lipstik Merah,Rp 65.000,Ai Perfume,Jakarta Utara,4.8,5 ulasan
LIPSTIK MATE MORESKIN NASA LC 09,Rp 75.000,NATURAL NUSANTARA NASA MALANG,Kab. Malang,4,2 ulasan
Lipstick 3CE Recipe Mood Mini Kit Lipstik Warna Merah,Rp 40.000,Sedaap Rasayang,Jakarta Barat,4.2,12 ulasan
Lipstick 3CE Recipe Mood Mini Kit Lipstik Warna Merah,Rp 40.000,Sedaap Rasayang,Jakarta Barat,4.2,12 ulasan
ElsheSkin x Tasya Farasya - Dream - Lipstick Nude Collection - Lipstik Lip Matte by Elshe Skin,Rp 89.000,VAMOS,Depok,4.8,5 ulasan
tanaman hias aglonema lipstick classick - aglonema lipstik,Rp 10.000,AT_store,Kab. Bogor,4.7,3 ulasan
BEST SELLER LOOKE COSMETICS  LIPSTIK NASA LIPCREAM,Rp 167.000,MAY ROSE OLSHOP,Surabaya,5,21 ulasan
Lipstik Viva Queen Perfect Matte Lip Color Lipstick,Rp 28.700,MSL,Surabaya,5,1 ulasan
Fran Wilson MoodMatcher Lipstick Brown - Lipstik Merah Coklat,Rp 65.000,Ai Perfume,Jakarta Utara,5,2 ulasan
LIPSTIK MATE MORESKIN NASA LC 08,Rp 75.000,NATURAL NUSANTARA NASA MALANG,Kab. Malang,5,1 ulasan
LIPSTIK MORESKIN LIPS CREAM MATE NASA,Rp 75.000,NATURAL NUSANTARA NASA MALANG,Kab. Malang,4,1 ulasan
Lipstik Hare Arab - Kualitas Bagus-ORI&BPOM,Rp 4.100,NCC Beauty Shop,Yogyakarta,5,1 ulasan
Lipglos Looke Lipstick Luna Lipstik Cair Glossy,Rp 137.000,NASA CENTRE JAKARTA RAYA,Jakarta Utara,5,1 ulasan
